!  Sample measurement started  10-Oct-2020    23:17:25
!
!  Exposure time slow/fast (sec)  0.1  / 0.1
!  Thresholds 1/2/end   3565  5000  5800
!
!-------------------------------------------------------------------------------------------------------------
!  Time    Filename               Mode   Diode        IPetra   Nr 1   Temp 1   Expa 1   Nr 2   Temp 2   Expa 2
!
23:17:29   GGQT_S6_1 1     1  slow   0     120.2966  unknown  unknown  unknown unknown  unknown  unknown
23:17:33   GGQT_S6_1 2     1  slow   0     120.2851  unknown  unknown  unknown unknown  unknown  unknown
23:17:38   GGQT_S6_1 3     1  slow   0     120.2753  unknown  unknown  unknown unknown  unknown  unknown
23:17:42   GGQT_S6_1 4     1  slow   0     120.2558  unknown  unknown  unknown unknown  unknown  unknown
23:17:47   GGQT_S6_1 5     1  slow   0     120.2451  unknown  unknown  unknown 22  25.98  0.00
23:17:52   GGQT_S6_1 6     1  slow   0     120.2246  36  33.72  0.80 69  68.09  5.32
23:17:56   GGQT_S6_1 7     1  slow   0     120.2167  83  82.41  7.26 115  114.88  11.70
23:18:01   GGQT_S6_1 8     1  slow   0     120.1969  129  128.62  13.70 161  161.01  17.89
23:18:06   GGQT_S6_1 9     1  slow   0     120.1811  176  176.14  19.40 208  207.97  21.88
23:18:10   GGQT_S6_1 10     1  slow   0     120.1743  222  222.00  22.94 254  253.98  26.16
23:18:15   GGQT_S6_1 11     1  slow   0     120.1615  269  269.05  27.99 301  300.89  32.35
23:18:20   GGQT_S6_1 12     1  slow   0     120.1455  315  315.06  34.47 348  347.96  39.74
23:18:24   GGQT_S6_1 13     1  slow   0     120.1295  362  361.79  42.06 394  393.87  47.40
23:18:29   GGQT_S6_1 14     1  slow   0     120.1112  408  407.83  49.76 441  440.91  55.13
23:18:34   GGQT_S6_1 15     1  slow   0     120.0926  455  455.04  57.31 488  487.95  61.50
23:18:38   GGQT_S6_1 16     1  slow   0     120.0859  502  502.01  62.20 534  534.13  59.42
23:18:42   GGQT_S6_1 17     1  slow   0     120.0756  548  547.88  58.72 570  569.99  60.11
23:18:47   GGQT_S6_1 18     1  slow   0     120.0679  584  583.98  61.80 617  616.94  66.37
23:18:51   GGQT_S6_1 19     1  slow   0     120.0516  631  630.98  68.49 663  662.83  73.40
23:18:56   GGQT_S6_1 20     1  slow   0     120.033  679  678.77  75.80 712  711.76  80.61
23:19:01   GGQT_S6_1 21     1  slow   0     120.0105  726  725.77  82.58 759  755.72  88.06
23:19:05   GGQT_S6_1 22     1  slow   0     120.0056  773  771.08  90.40 805  801.16  90.80
23:19:10   GGQT_S6_1 23     1  slow   0     119.9824  819  818.76  88.82 852  852.77  97.04
23:19:15   GGQT_S6_1 24     1  slow   0     120.5638  866  866.29  101.10 898  866.35  102.32
23:19:19   GGQT_S6_1 25     1  slow   0     120.9634  912  865.96  102.61 945  865.52  103.04
23:19:24   GGQT_S6_1 26     1  slow   0     120.9489  959  864.36  103.22 991  865.26  103.59
23:19:29   GGQT_S6_1 27     1  slow   0     120.9312  1007  864.78  103.75 1040  865.72  104.03
23:19:34   GGQT_S6_1 28     1  slow   0     120.9168  1054  865.14  104.17 1086  865.08  104.40
23:19:38   GGQT_S6_1 29     1  slow   0     120.8998  1100  864.91  104.49 1133  865.31  104.65
23:19:43   GGQT_S6_1 30     1  slow   0     120.8878  1147  864.98  104.75 1179  865.31  104.92
23:19:48   GGQT_S6_1 31     1  slow   0     120.8758  1193  864.40  104.97 1226  865.10  105.05
23:19:52   GGQT_S6_1 32     1  slow   0     120.8597  1240  865.00  105.17 1273  865.10  105.25
23:19:57   GGQT_S6_1 33     1  slow   0     120.8506  1287  865.22  105.31 1319  865.23  105.44
23:20:02   GGQT_S6_1 34     1  slow   0     120.8352  1333  864.97  105.44 1365  865.10  105.48
23:20:06   GGQT_S6_1 35     1  slow   0     120.8228  1379  865.19  105.57 1412  865.16  105.63
23:20:11   GGQT_S6_1 36     1  slow   0     120.803  1426  865.07  105.66 1459  865.31  105.73
23:20:15   GGQT_S6_1 37     1  slow   0     120.7861  1473  865.13  105.75 1505  864.16  105.83
23:20:20   GGQT_S6_1 38     1  slow   0     120.7763  1519  864.31  105.84 1552  865.09  105.96
23:20:25   GGQT_S6_1 39     1  slow   0     120.7596  1566  864.56  105.97 1598  864.99  106.07
23:20:29   GGQT_S6_1 40     1  slow   0     120.7413  1612  864.85  106.09 1644  864.99  106.13
23:20:34   GGQT_S6_1 41     1  slow   0     120.7327  1658  865.09  106.12 1691  865.03  106.20
23:20:39   GGQT_S6_1 42     1  slow   0     120.7135  1705  864.82  106.19 1737  865.09  106.27
23:20:43   GGQT_S6_1 43     1  slow   0     120.7027  1751  864.91  106.23 1784  865.10  106.26
23:20:48   GGQT_S6_1 44     1  slow   0     120.6852  1798  864.98  106.27 1830  865.09  106.34
23:20:53   GGQT_S6_1 45     1  slow   0     120.6695  1844  865.03  106.34 1877  864.91  106.38
23:20:57   GGQT_S6_1 46     1  slow   0     120.6612  1891  865.01  106.36 1924  864.46  106.43
23:21:02   GGQT_S6_1 47     1  slow   0     120.6397  1938  865.18  106.54 1970  864.98  106.48
23:21:07   GGQT_S6_1 48     1  slow   0     120.6232  1984  865.11  106.50 2017  864.24  106.57
23:21:11   GGQT_S6_1 49     1  slow   0     120.6167  2031  864.83  106.50 2063  865.07  106.55
