!  Sample measurement started  10-Oct-2020    23:27:35
!
!  Exposure time slow/fast (sec)  0.1  / 0.1
!  Thresholds 1/2/end   8150  8500  130000
!
!-------------------------------------------------------------------------------------------------------------
!  Time    Filename               Mode   Diode        IPetra   Nr 1   Temp 1   Expa 1   Nr 2   Temp 2   Expa 2
!
23:27:39   GGQT_S6_2 1     1  slow   0     120.4046  5913  250.01  -10.71 5935  250.05  -10.74
23:27:42   GGQT_S6_2 2     1  slow   0     120.3921  5949  249.89  -10.7 5972  250.06  -10.71
23:27:47   GGQT_S6_2 3     1  slow   0     120.3768  5985  250.07  -10.7 6018  250.04  -10.7
23:27:51   GGQT_S6_2 4     1  slow   0     120.3766  6032  250.02  -10.7 6064  250.09  -10.71
23:27:56   GGQT_S6_2 5     1  slow   0     120.3511  6078  250.08  -10.7 6110  250.10  -10.68
23:28:01   GGQT_S6_2 6     1  slow   0     120.3379  6124  250.11  -10.73 6157  250.30  -10.7
23:28:05   GGQT_S6_2 7     1  slow   0     120.3256  6171  250.17  -10.73 6203  250.17  -10.71
23:28:10   GGQT_S6_2 8     1  slow   0     120.3111  6217  250.09  -10.74 6250  250.24  -10.75
23:28:15   GGQT_S6_2 9     1  slow   0     120.2996  6264  250.21  -10.76 6296  250.10  -10.76
23:28:18   GGQT_S6_2 10     1  slow   0     120.2848  6310  250.18  -10.76 6335  250.09  -10.84
23:28:23   GGQT_S6_2 11     1  slow   0     120.2688  6349  250.23  -10.76 6381  249.94  -10.77
23:28:28   GGQT_S6_2 12     1  slow   0     120.2495  6395  249.94  -10.77 6428  249.96  -10.75
23:28:32   GGQT_S6_2 13     1  slow   0     120.2394  6442  250.04  -10.76 6474  249.86  -10.73
23:28:37   GGQT_S6_2 14     1  slow   0     120.2221  6488  249.85  -10.7 6521  250.08  -10.7
23:28:41   GGQT_S6_2 15     1  slow   0     120.2172  6535  249.88  -10.68 6557  250.04  -10.65
23:28:45   GGQT_S6_2 16     1  slow   0     120.2029  6571  250.07  -10.65 6603  250.19  -10.63
23:28:50   GGQT_S6_2 17     1  slow   0     120.1837  6617  250.10  -10.65 6649  249.90  -10.61
23:28:55   GGQT_S6_2 18     1  slow   0     120.1762  6663  250.12  -10.6 6696  250.05  -10.63
23:28:59   GGQT_S6_2 19     1  slow   0     120.1583  6710  250.01  -10.57 6742  250.17  -10.57
23:29:04   GGQT_S6_2 20     1  slow   0     120.1495  6756  250.11  -10.57 6789  250.25  -10.61
23:29:08   GGQT_S6_2 21     1  slow   0     120.129  6803  250.06  -10.55 6835  250.13  -10.56
23:29:13   GGQT_S6_2 22     1  slow   0     120.1214  6849  250.01  -10.52 6882  249.86  -10.51
23:29:18   GGQT_S6_2 23     1  slow   0     120.1018  6896  249.88  -10.51 6928  249.96  -10.48
23:29:22   GGQT_S6_2 24     1  slow   0     120.0877  6942  249.96  -10.46 6975  250.00  -10.5
23:29:27   GGQT_S6_2 25     1  slow   0     120.0826  6989  250.08  -10.45 7021  249.91  -10.43
23:29:32   GGQT_S6_2 26     1  slow   0     120.0648  7035  249.90  -10.44 7068  249.94  -10.46
