Image;Time(s);Temperature(oC)
GGQT_S6_1-00001;-19.41301340143622;
GGQT_S6_1-00002;-14.929013195442568;
GGQT_S6_1-00003;-10.33501333277167;
GGQT_S6_1-00004;-5.632013264107119;
GGQT_S6_1-00005;-1.0380134014362206;
GGQT_S6_1-00006;3.665986594749082;34.59284059255136
GGQT_S6_1-00007;8.274986800742735;82.11361011876653
GGQT_S6_1-00008;12.868986663413633;128.39151177135028
GGQT_S6_1-00009;17.571986732078184;175.76170853050033
GGQT_S6_1-00010;22.18198662717401;221.82512037548977
GGQT_S6_1-00011;26.869986590934385;268.69584288548185
GGQT_S6_1-00012;31.478986796928037;314.79798554543487
GGQT_S6_1-00013;36.18198662717401;361.6266163092641
GGQT_S6_1-00014;40.88498669583856;408.79593285564016
GGQT_S6_1-00015;45.47898679692804;454.79209279668095
GGQT_S6_1-00016;50.18198662717401;501.8304353649752
GGQT_S6_1-00017;54.77598672826349;547.6409989790066
GGQT_S6_1-00018;58.47998672444879;584.6899348901344
GGQT_S6_1-00019;63.088986692023866;630.8817104680638
GGQT_S6_1-00020;67.97998672444879;679.562560756368
GGQT_S6_1-00021;72.58898669202387;725.6342512375413
GGQT_S6_1-00022;77.29198676068842;770.9874738918529
GGQT_S6_1-00023;81.88598662335932;818.5780544767962
GGQT_S6_1-00024;86.58898669202387;866.1669773965973
GGQT_S6_1-00025;91.18298679311334;865.9831280108317
GGQT_S6_1-00026;95.88698678929865;864.5159378657056
GGQT_S6_1-00027;100.69898682553827;864.7980708033818
GGQT_S6_1-00028;105.40198665578424;865.1387608936785
GGQT_S6_1-00029;109.99598675687372;864.9300732020344
GGQT_S6_1-00030;114.69998675305902;864.9963396877079
GGQT_S6_1-00031;119.29298668820917;864.4651747847722
GGQT_S6_1-00032;123.99698668439447;865.0018751387915
GGQT_S6_1-00033;128.69998675305902;865.2086656205631
GGQT_S6_1-00034;133.29398661572992;864.9739412954441
GGQT_S6_1-00035;138.01098662335932;865.1549864943864
GGQT_S6_1-00036;142.61098676641046;865.0677262935403
GGQT_S6_1-00037;147.31298666913568;865.1121402953108
GGQT_S6_1-00038;151.90398674924432;864.321193434253
GGQT_S6_1-00039;156.60698681790888;864.5842329588074
GGQT_S6_1-00040;161.20098668057977;864.8598991036032
GGQT_S6_1-00041;165.80998664815485;865.0734539876759
GGQT_S6_1-00042;170.5129867168194;864.838580357879
GGQT_S6_1-00043;175.10698681790888;864.9071134680473
GGQT_S6_1-00044;179.81098681409418;864.9894171947225
GGQT_S6_1-00045;184.41998678166925;864.9768693319842
GGQT_S6_1-00046;189.10798674542963;864.9939938877055
GGQT_S6_1-00047;193.81098681409418;865.15625454723
GGQT_S6_1-00048;198.41998678166925;865.0649100071906
GGQT_S6_1-00049;203.12398677785455;864.908809458385
GGQT_S6_1-00050;207.71798664052545;864.9836800853949
GGQT_S6_1-00051;212.42098670919;865.1227904470551
GGQT_S6_1-00052;217.01498681027948;865.1629147324337
GGQT_S6_1-00053;221.71798664052545;865.1152028845912
GGQT_S6_1-00054;226.32698660810053;865.0801315552187
GGQT_S6_1-00055;230.21798664052545;865.0494299544221
GGQT_S6_1-00056;234.82798677403986;865.135992876148
GGQT_S6_1-00057;239.42098670919;865.0304058890765
GGQT_S6_1-00058;243.1249867053753;865.0430024684284
GGQT_S6_1-00059;247.82798677403986;865.1723732777665
GGQT_S6_1-00060;252.42198663671076;865.0387335036311
GGQT_S6_1-00061;257.03098660428583;864.9820989003531
GGQT_S6_1-00062;261.73498660047113;864.9711724436255
GGQT_S6_1-00063;266.32798677403986;865.4472638803312
GGQT_S6_1-00064;271.03198677022516;865.181979726478
GGQT_S6_1-00065;275.64098673780023;864.8439155646194
GGQT_S6_1-00066;280.23498660047113;865.1397915938537
GGQT_S6_1-00067;284.9379866691357;864.8843179448062
GGQT_S6_1-00068;289.64098673780023;865.1997419766826
GGQT_S6_1-00069;294.23498660047113;865.0294648738034
GGQT_S6_1-00070;298.9379866691357;864.6357560424352
GGQT_S6_1-00071;303.641986665321;865.0059019432325
GGQT_S6_1-00072;308.23598676641046;865.1045641206711
GGQT_S6_1-00073;312.84498673398554;865.09705083117
GGQT_S6_1-00074;317.43898659665643;864.4235935641459
GGQT_S6_1-00075;322.141986665321;865.1358802147492
GGQT_S6_1-00076;326.7519867988354;865.6303801475657
GGQT_S6_1-00077;331.45498662908136;865.2672618563884
GGQT_S6_1-00078;336.04898673017084;865.1748460339587
GGQT_S6_1-00079;340.7519867988354;865.1508298236712
GGQT_S6_1-00080;345.3459866615063;865.0667658384748
GGQT_S6_1-00081;350.0499866576916;864.9398193821553
GGQT_S6_1-00082;354.65898662526666;865.0833322411626
GGQT_S6_1-00083;379.36298662145197;865.3310866897913
GGQT_S6_1-00084;380.3619866939312;865.3491684714292
GGQT_S6_1-00085;381.36298662145197;865.0963791443279
GGQT_S6_1-00086;382.36298662145197;864.5714755085703
GGQT_S6_1-00087;383.3619866939312;865.0176233083278
GGQT_S6_1-00088;384.3619866939312;864.9052290081254
GGQT_S6_1-00089;385.3619866939312;865.0732999430612
GGQT_S6_1-00090;386.3619866939312;865.1328841120469
GGQT_S6_1-00091;387.3619866939312;846.0684726382922
GGQT_S6_1-00092;388.36298662145197;816.529365330804
GGQT_S6_1-00093;389.36298662145197;779.1053165131005
GGQT_S6_1-00094;390.36298662145197;747.0285671071185
GGQT_S6_1-00095;391.36298662145197;717.4311971027507
GGQT_S6_1-00096;392.36298662145197;688.7551189247492
GGQT_S6_1-00097;393.37798672635614;659.0282888370712
GGQT_S6_1-00098;394.36298662145197;629.9003684365667
GGQT_S6_1-00099;395.36298662145197;600.1748170829283
GGQT_S6_1-00100;396.36298662145197;570.820686781111
GGQT_S6_1-00101;397.36298662145197;540.8138963729173
GGQT_S6_1-00102;398.36298662145197;510.68929057038474
GGQT_S6_1-00103;399.36298662145197;482.15158084138574
GGQT_S6_1-00104;400.36298662145197;451.71238738805283
GGQT_S6_1-00105;401.36298662145197;421.11526484993266
GGQT_S6_1-00106;402.36298662145197;391.25926935296013
GGQT_S6_1-00107;403.36298662145197;362.2545733631931
GGQT_S6_1-00108;404.36298662145197;333.2181747177278
GGQT_S6_1-00109;405.36298662145197;304.50832463858035
GGQT_S6_1-00110;406.36298662145197;277.05606057145536
GGQT_S6_1-00111;407.36298662145197;249.69965336805188
GGQT_S6_1-00112;408.3789866538769;222.70872712108456
GGQT_S6_1-00113;409.3789866538769;197.7448873856488
GGQT_S6_1-00114;410.3789866538769;174.17585511232159
GGQT_S6_1-00115;411.3789866538769;156.53045260385974
GGQT_S6_1-00116;412.3789866538769;145.7467058148431
GGQT_S6_1-00117;413.3789866538769;139.9955344662658
